key,description
cluster.cpu.user.max,Maximum cluster average of user CPU usage in tenths of a percent
cluster.cpu.sys.max,Maximum cluster average of sytem CPU usage in tenths of a percent
node.cpu.throttling,"True if CPUs are throttled, false otherwise"
node.load.1min,1-minute load average in cents (1/100ths)
node.load.5min,5-minute load average in cents (1/100ths)
node.load.15min,15-minute load average in cents (1/100ths)
node.memory.used,Bytes of physical system memory that are in use
node.memory.free,Bytes of physical system memory that are free
node.open.files,Number of open files on the node
node.process.count,Number of processes on the node
node.uptime,Length of time in seconds since the node was booted
node.boottime,Time at which node was last booted (seconds since UNIX epoch)
node.diskless,Whether the node is diskless (boolean)
node.ifs.bytes.free,Number of free bytes on /ifs on the node
node.ifs.bytes.used,Number of used bytes on /ifs on the node
node.ifs.bytes.total,Total size of /ifs on the node
node.ifs.ssd.bytes.free,Number of free bytes on SSDs on /ifs on the node
node.ifs.ssd.bytes.used,Number of used bytes on SSDs on/ifs on the node
node.ifs.ssd.bytes.total,Total size of SSD space in /ifs on the node
node.ifs.bytes.deleted,Number of bytes deleted from /ifs on the node since boot
node.ifs.bytes.in,Bytes input to /ifs since node boot
node.ifs.bytes.out,Bytes output from /ifs since node boot
node.ifs.bytes.deleted.rate,Delete rate to /ifs on the node (bytes/sec)
node.ifs.bytes.in.rate,Input rate to /ifs on the node (bytes/sec)
node.ifs.bytes.out.rate,Output rate to /ifs from the node (bytes/sec)
node.ifs.bytes.in.rate.max,Maximum input rate to /ifs on the node (bytes/sec)
node.ifs.bytes.out.rate.max,Maximum output rate from /ifs on the node (bytes/sec)
node.ifs.files.created,Number of files created on /ifs since node boot
node.ifs.files.removed,Number of files removed from /ifs since node boot
node.ifs.num.lookups,Number of lookups on /ifs since node boot
node.ifs.files.created.rate,File creation rate on /ifs on the node (num/sec)
node.ifs.files.removed.rate,File removal rate on /ifs on the node (num/sec)
node.ifs.num.lookups.rate,Filesystem name lookup rate on /ifs on the node (num/sec)
node.ifs.ops.in,Input operations to /ifs since node boot
node.ifs.ops.out,Output operations from /ifs since node boot
node.ifs.ops.in.rate,Operation input rate to /ifs on the node (ops/sec)
node.ifs.ops.out.rate,Operation output rate to /ifs on the node (ops/sec)
node.sysfs.root.bytes.avail,Available capacity on the /root filesystem in bytes
node.sysfs.root.bytes.used,Used capacity on the /root filesystem in bytes
node.sysfs.root.bytes.free,Free capacity on the /root filesystem in bytes
node.sysfs.root.bytes.total,Total capacity on the /root filesystem in bytes
node.sysfs.root.percent.avail,Available capacity on the /root filesystem as a percentage
node.sysfs.root.percent.used,Used capacity on the /root filesystem as a percentage
node.sysfs.root.percent.free,Free capacity on the /root filesystem as a percentage
node.sysfs.var.bytes.avail,Available capacity on the /var filesystem in bytes
node.sysfs.var.bytes.used,Used capacity on the /var filesystem in bytes
node.sysfs.var.bytes.free,Free capacity on the /var filesystem in bytes
node.sysfs.var.bytes.total,Total capacity on the /var filesystem in bytes
node.sysfs.var.percent.avail,Available capacity on the /var filesystem as a percentage
node.sysfs.var.percent.used,Used capacity on the /var filesystem as a percentage
node.sysfs.var.percent.free,Free capacity on the /var filesystem as a percentage
node.sysfs.varcrash.bytes.avail,Available capacity on the /var/crash filesystem in bytes
node.sysfs.varcrash.bytes.used,Used capacity on the /var/crash filesystem in bytes
node.sysfs.varcrash.bytes.free,Free capacity on the /var/crash filesystem in bytes
node.sysfs.varcrash.bytes.total,Total capacity on the /var/crash filesystem in bytes
node.sysfs.varcrash.percent.avail,Available capacity on the /var/crash filesystem as a percentage
node.sysfs.varcrash.percent.used,Used capacity on the /var/crash filesystem as a percentage
node.sysfs.varcrash.percent.free,Free capacity on the /var/crash filesystem as a percentage
node.nvram.charge.status,"Combined charge status for all batteries. 0 = Not available, 1 = Good, 2 = Caution, 3 = Error"
node.nvram.battery.status.0,"Status of battery with index 0. 0 = Unknown, 1 = Unable to communicate with battery charger, 2 = Charger unable to operate, 3 = Battery pack disconnected, 4 = Charge paused due to temperature error, 5 = Charge C/10 paused due to temperature error, 6 = Good, 7 = Battery unable to accept charge, 8 = Battery charging normally, 9 = Good, 10 = Good, 11 = Battery charge circuit shutdown, 12 = Good, 13 = Battery tray removed, 14 = Battery failed, 15 = Battery overcharged"
node.nvram.battery.status.1,"Status of battery with index 1. 0 = Unknown, 1 = Unable to communicate with battery charger, 2 = Charger unable to operate, 3 = Battery pack disconnected, 4 = Charge paused due to temperature error, 5 = Charge C/10 paused due to temperature error, 6 = Good, 7 = Battery unable to accept charge, 8 = Battery charging normally, 9 = Good, 10 = Good, 11 = Battery charge circuit shutdown, 12 = Good, 13 = Battery tray removed, 14 = Battery failed, 15 = Battery overcharged"
node.net.iface.count,Number of configured network interfaces
node.net.iface.name.0,Name of network interface number 0
node.net.iface.name.1,Name of network interface number 1
node.net.iface.name.2,Name of network interface number 2
node.net.iface.name.3,Name of network interface number 3
node.net.iface.name.4,Name of network interface number 4
node.net.iface.name.5,Name of network interface number 5
node.net.iface.name.6,Name of network interface number 6
node.net.iface.name.7,Name of network interface number 7
node.net.iface.name.8,Name of network interface number 8
node.net.iface.name.9,Name of network interface number 9
node.net.iface.name.10,Name of network interface number 10
node.net.iface.name.11,Name of network interface number 11
node.net.iface.name.12,Name of network interface number 12
node.net.iface.name.13,Name of network interface number 13
node.net.iface.name.14,Name of network interface number 14
node.net.iface.name.15,Name of network interface number 15
node.net.iface.internal.0,True if interface number 0 is internal
node.net.iface.internal.1,True if interface number 1 is internal
node.net.iface.internal.2,True if interface number 2 is internal
node.net.iface.internal.3,True if interface number 3 is internal
node.net.iface.internal.4,True if interface number 4 is internal
node.net.iface.internal.5,True if interface number 5 is internal
node.net.iface.internal.6,True if interface number 6 is internal
node.net.iface.internal.7,True if interface number 7 is internal
node.net.iface.internal.8,True if interface number 8 is internal
node.net.iface.internal.9,True if interface number 9 is internal
node.net.iface.internal.10,True if interface number 10 is internal
node.net.iface.internal.11,True if interface number 11 is internal
node.net.iface.internal.12,True if interface number 12 is internal
node.net.iface.internal.13,True if interface number 13 is internal
node.net.iface.internal.14,True if interface number 14 is internal
node.net.iface.internal.15,True if interface number 15 is internal
node.net.iface.status.0,Status for interface number 0
node.net.iface.status.1,Status for interface number 1
node.net.iface.status.2,Status for interface number 2
node.net.iface.status.3,Status for interface number 3
node.net.iface.status.4,Status for interface number 4
node.net.iface.status.5,Status for interface number 5
node.net.iface.status.6,Status for interface number 6
node.net.iface.status.7,Status for interface number 7
node.net.iface.status.8,Status for interface number 8
node.net.iface.status.9,Status for interface number 9
node.net.iface.status.10,Status for interface number 10
node.net.iface.status.11,Status for interface number 11
node.net.iface.status.12,Status for interface number 12
node.net.iface.status.13,Status for interface number 13
node.net.iface.status.14,Status for interface number 14
node.net.iface.status.15,Status for interface number 15
node.net.iface.bytes.in.rate.0,Input bytes per second for interface 0
